I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.0007132859885964913,1.9655709736842104,0.0005,0.0001386386096491228,0.04141971381672896,mu0.0_T0.0005_s101,0.10462574585964912,0.0,7585.888888888889,57,101,-0.20570809912280702
0.000712136188245614,1.9719500578947369,0.002,0.0004070017187719298,0.041972329721772346,mu0.0_T0.002_s101,0.10210701064912281,0.0,7196.888888888889,57,101,-0.20139238771929824
0.0007115827198245614,1.9751251789473685,0.006,0.0011717300596491228,0.0439288206069362,mu0.0_T0.006_s101,0.09368012754385965,0.0,6582.611111111111,57,101,-0.18525685280701756
0.0007092394568421053,1.9882626245614032,0.015,0.0030795976,0.04744908066180098,mu0.0_T0.015_s101,0.08292830163157895,0.0,5721.666666666667,57,101,-0.16496997770175442
0.0007080400054385965,1.9950161210526316,0.0005,5.072615670175439e-05,0.05450188497912864,mu0.1_T0.0005_s101,0.16084824122807018,0.1,7400.777777777777,57,101,-0.3210555436842105
0.0007070505489473684,2.0003715228070176,0.002,0.0001924851289473684,0.05215306148413115,mu0.1_T0.002_s101,0.1318251249122807,0.1,7323.222222222223,57,101,-0.2637008196491228
0.0007164779557894737,1.9480865280701756,0.006,0.0006844907410526316,0.0562303913160897,mu0.1_T0.006_s101,0.1167644032631579,0.1,6821.555555555556,57,101,-0.22747525438596491
0.0007091245847368422,1.9887831175438597,0.015,0.002037213550877193,0.054537916566498965,mu0.1_T0.015_s101,0.10807456268421052,0.1,6050.666666666667,57,101,-0.21493593596491226
0.0007114411456140351,1.975945684210526,0.0005,5.79958161754386e-05,0.09053717571692332,mu0.3_T0.0005_s101,0.25279149245614035,0.3,6622.888888888889,57,101,-0.49943104771929825
0.0007138299589473685,1.9625825754385964,0.002,0.00018259330701754384,0.07250168732151623,mu0.3_T0.002_s101,0.19338136719298243,0.3,6841.888888888889,57,101,-0.3796634033333333
0.0007109843959649122,1.9783326421052632,0.006,0.000522956145614035,0.059991456077211444,mu0.3_T0.006_s101,0.15024687912280701,0.3,6762.166666666667,57,101,-0.29721252947368415
0.0007132475626315788,1.9659842508771928,0.015,0.0015149805456140348,0.06530994868618703,mu0.3_T0.015_s101,0.1269062519649123,0.3,6123.833333333333,57,101,-0.24976487403508776
0.0007063178784210525,2.0048620245614033,0.0005,0.0001095062223508772,0.09443595564083435,mu1.0_T0.0005_s101,0.25796143368421054,1.0,5499.0,57,101,-0.5174167636842105
0.0007104307361403509,1.9816134578947366,0.002,0.0002799202,0.09276057633220366,mu1.0_T0.002_s101,0.2499045085964912,1.0,5761.166666666667,57,101,-0.49563734894736844
0.0007135734324561403,1.964089801754386,0.006,0.0006262654433333332,0.08397107557155048,mu1.0_T0.006_s101,0.20005297140350878,1.0,6042.444444444444,57,101,-0.3927335747368421
0.0007156273903508772,1.9528481491228071,0.015,0.0014280081859649124,0.07670286422386517,mu1.0_T0.015_s101,0.1582822014035088,1.0,5805.777777777777,57,101,-0.3092261228070176
