I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.0003278569254385965,11.623326819298244,0.0005,7.724361354385964e-05,0.11778815388710483,mu0.05_T0.0005_s1,0.12221994435087717,0.05,6915.5,57,1,-1.3474797545614035
0.0003731586784210527,9.582203194736843,0.0005,8.95873727894737e-05,0.09923752932747511,mu0.05_T0.0005_s2,0.12516847349122806,0.05,7083.722222222223,57,2,-1.1396539482456138
0.000387445182631579,9.17741913508772,0.0005,8.917120668421052e-05,0.1398782044993934,mu0.05_T0.0005_s3,0.12107330294736841,0.05,6648.666666666667,57,3,-1.0499213936842107
0.00031678520649122807,9.965359957894737,0.001,8.086440340350878e-05,0.04743282267390224,mu0.05_T0.001_s1,0.1402155043859649,0.05,8017.333333333333,57,1,-1.397191956140351
0.0003147807866666666,10.093181533333334,0.001,8.223407266666667e-05,0.04719884823402819,mu0.05_T0.001_s2,0.1366922854385965,0.05,8007.055555555556,57,2,-1.3810364719298243
0.0003169643356140351,9.953899935087719,0.001,7.705399840350879e-05,0.04376195273549925,mu0.05_T0.001_s3,0.14464774947368422,0.05,7985.055555555556,57,3,-1.4405517192982455
0.0003166029543859649,9.977083564912279,0.003,0.0001972799145614035,0.04278719185390468,mu0.05_T0.003_s1,0.1346326396491228,0.05,8060.944444444444,57,1,-1.3432025789473685
0.00031632538526315786,9.994317359649123,0.003,0.00019037213035087719,0.04809009450517396,mu0.05_T0.003_s2,0.13423273877192984,0.05,8081.666666666667,57,2,-1.3416054263157897
0.0003182563919298246,9.87305560877193,0.003,0.00019877610350877193,0.04094330657398777,mu0.05_T0.003_s3,0.12156085191228069,0.05,8046.388888888889,57,3,-1.2004768447368421
0.0003183150214035088,9.8693898,0.008,0.0005191447250877193,0.03340473580756614,mu0.05_T0.008_s1,0.10227722201754386,0.05,8060.555555555556,57,1,-1.0096906350877193
0.00031806784701754383,9.885143757894738,0.008,0.0005145202707017544,0.04275990231785568,mu0.05_T0.008_s2,0.11650514387719299,0.05,8046.277777777777,57,2,-1.1518421050877192
0.000316816438245614,9.96317325614035,0.008,0.0004960017898245614,0.03319172439828653,mu0.05_T0.008_s3,0.10332503192982456,0.05,8064.833333333333,57,3,-1.0296858943859648
0.00031567676421052627,10.035131915789473,0.02,0.0014065754999999997,0.03326021271960209,mu0.05_T0.02_s1,0.09063280350877193,0.05,7961.888888888889,57,1,-0.9097227542105263
0.0003164243863157895,9.987860859649123,0.02,0.0013800685228070176,0.032149449780060596,mu0.05_T0.02_s2,0.09871583889473684,0.05,7951.666666666667,57,2,-0.9863597947368421
0.0003183405261403509,9.867914142105263,0.02,0.001424778807017544,0.0351535021776201,mu0.05_T0.02_s3,0.09674194024561403,0.05,7944.444444444444,57,3,-0.9546200761403508
0.0003702022892982456,9.502977963157894,0.0005,0.0002823909868421053,0.09153447725081533,mu0.0_T0.0005_s1,0.10363398087719299,0.0,7139.388888888889,57,1,-0.9242796292982456
0.00036542486666666664,10.278049649122808,0.0005,0.0002973278296491228,0.0807379845282818,mu0.0_T0.0005_s2,0.09417036908771931,0.0,7373.055555555556,57,2,-0.9563060403508772
0.0003626223468421053,10.070703435087722,0.0005,0.00030293561228070183,0.07706355569493882,mu0.0_T0.0005_s3,0.10009517261403508,0.0,7429.277777777777,57,3,-0.9501209303508772
0.0003174941957894736,9.92050905964912,0.001,0.00035012709210526313,0.03319832106908,mu0.0_T0.001_s1,0.09521833638596491,0.0,8222.777777777777,57,1,-0.9447623040350878
0.00031579126140350876,10.027968643859648,0.001,0.0003102014931578948,0.033555223343028455,mu0.0_T0.001_s2,0.10091948836842105,0.0,8194.444444444445,57,2,-1.0126661312280703
0.0003154706605263158,10.048411289473686,0.001,0.000331945140877193,0.03670266015388071,mu0.0_T0.001_s3,0.10331550214035087,0.0,8217.611111111111,57,3,-1.0384092963157894
0.0003187408343859649,9.84313470877193,0.003,0.0005751825666666666,0.03532309037030574,mu0.0_T0.003_s1,0.09617392875438596,0.0,8150.222222222223,57,1,-0.9464233749122808
0.00031671727403508775,9.969503649122808,0.003,0.0005882095642105262,0.03434881342639151,mu0.0_T0.003_s2,0.09405624594736842,0.0,8155.055555555556,57,2,-0.9377654599999999
0.0003202132684210526,9.75285671754386,0.003,0.0005688685652631578,0.03496326380860506,mu0.0_T0.003_s3,0.09229197533333333,0.0,8161.055555555556,57,3,-0.900442659122807
0.0003192990349122807,9.808896582456143,0.008,0.0012621558140350879,0.03578866392733709,mu0.0_T0.008_s1,0.0878025485263158,0.0,8017.277777777777,57,1,-0.8612015601754386
0.00031798582245614037,9.889989928070177,0.008,0.0012395524789473684,0.036191745764073635,mu0.0_T0.008_s2,0.0968739467017544,0.0,8033.5,57,2,-0.9580892154385966
0.0003201722357894737,9.755476140350877,0.008,0.001223154956140351,0.034949998027386804,mu0.0_T0.008_s3,0.08485389324561404,0.0,8040.833333333333,57,3,-0.8281157933333335
