P,mu_g,Tgran,seed,chi,chi_sd,ncon,nframe
50.0,0.1,0.025,1,0.06320143651162878,0.0021143767608788693,8401,9
50.0,0.1,0.025,2,0.0663065737119721,0.0033854115165008925,8395,9
50.0,0.1,0.025,3,0.0641902639248917,0.0026806634739032966,8401,9
50.0,0.1,0.025,4,0.06232980241922191,0.0018118267004573918,8419,9
50.0,0.1,0.065,1,0.09518021006385084,0.005402474120048826,8498,9
50.0,0.1,0.065,2,0.09518167080437444,0.0026880672797086943,8476,9
50.0,0.1,0.065,3,0.09524868119052406,0.003058663402880035,8539,9
50.0,0.1,0.065,4,0.09421145181668639,0.004040935959036142,8523,9
50.0,0.1,0.15,1,0.141131161070958,0.005482237602903966,8520,9
50.0,0.1,0.15,2,0.13684488590939342,0.003657969634927022,8533,9
50.0,0.1,0.15,3,0.14014720144408535,0.003910633696044365,8520,9
50.0,0.1,0.15,4,0.13797486629487754,0.0041495567593961575,8526,9
50.0,0.1,0.3,1,0.18775180075855202,0.0032610255506497665,8411,9
50.0,0.1,0.3,2,0.18675227961247143,0.005113238655387407,8448,9
50.0,0.1,0.3,3,0.19216065432544915,0.004072793553699338,8399,9
50.0,0.1,0.3,4,0.19020304491155451,0.003387185354840386,8440,9
50.0,0.1,0.6,1,0.24651523444426593,0.004856608704658462,8147,9
50.0,0.1,0.6,2,0.24684433429673172,0.0040287431715202,8195,9
50.0,0.1,0.6,3,0.24596627478328909,0.004716121010523103,8194,9
50.0,0.1,0.6,4,0.2453228286214942,0.004190818818610228,8204,9
50.0,0.1,1.25,1,0.3120229827315677,0.0060453424267570095,7738,9
50.0,0.1,1.25,2,0.3105058208596099,0.005325490159094146,7723,9
50.0,0.1,1.25,3,0.3077856334645713,0.007237635082024863,7752,9
50.0,0.1,1.25,4,0.3103602802231442,0.003908589316121503,7718,9
50.0,0.2,0.0075,1,0.0334309019777259,0.0026847282687490325,7824,9
50.0,0.2,0.0075,2,0.03190593786141542,0.0014752346900747052,7814,9
50.0,0.2,0.0075,3,0.03264528773158806,0.0017591050464385491,7828,9
50.0,0.2,0.0075,4,0.03129313625101492,0.0022203152232452886,7847,9
50.0,0.2,0.005,1,0.03406229375384259,0.00199693812506448,7802,9
50.0,0.2,0.005,2,0.032118614036666236,0.0023914777685197174,7773,9
50.0,0.2,0.005,3,0.03567375610873025,0.003946578947970334,7776,9
50.0,0.2,0.005,4,0.03364531558463282,0.0016524245475805887,7823,9
50.0,0.2,0.015,1,0.03331802172496139,0.0015477594962123367,7910,9
50.0,0.2,0.015,2,0.03148276306081889,0.0013235512360599045,7895,9
50.0,0.2,0.015,3,0.034220040581820474,0.0021498733313563144,7893,9
50.0,0.2,0.015,4,0.032218738307042465,0.0021952534333573854,7901,9
50.0,0.2,0.025,1,0.037375795205397674,0.0019236331632251516,7973,9
50.0,0.2,0.025,2,0.03716558811479362,0.001320504253072641,7961,9
50.0,0.2,0.025,3,0.03729597999890517,0.0030010064835796183,7973,9
50.0,0.2,0.025,4,0.03704351594356746,0.0025294808135620708,7951,9
50.0,0.2,0.065,1,0.04901365968467807,0.0035248256054922268,8148,9
50.0,0.2,0.065,2,0.04953896309580902,0.0019486111547087966,8133,9
50.0,0.2,0.065,3,0.05067664003866577,0.0025830309212305437,8184,9
50.0,0.2,0.065,4,0.0473800142201691,0.0015258098713655439,8137,9
50.0,0.2,0.15,1,0.07267791128736358,0.0016555792550663783,8264,9
50.0,0.2,0.15,2,0.07148664277896939,0.0027026541830342116,8295,9
50.0,0.2,0.15,3,0.07282676717173518,0.0018523573971656283,8318,9
50.0,0.2,0.15,4,0.07180867119524817,0.0033478516723429615,8313,9
50.0,0.2,0.3,1,0.10131586044433595,0.003435617202374503,8318,9
50.0,0.2,0.3,2,0.10061614863309086,0.003944647029294043,8342,9
50.0,0.2,0.3,3,0.09977113902106165,0.004425548954476095,8332,9
50.0,0.2,0.3,4,0.09977435337433087,0.003775037907141864,8342,9
50.0,0.2,0.6,1,0.13883780113243754,0.003478907067562554,8243,9
50.0,0.2,0.6,2,0.13852173837248916,0.002634524031120543,8236,9
50.0,0.2,0.6,3,0.13780553342573099,0.004575049822815062,8241,9
50.0,0.2,0.6,4,0.13848298771118522,0.0030509177219732644,8208,9
50.0,0.2,1.25,1,0.19339961368268774,0.004313512765564406,7847,9
50.0,0.2,1.25,2,0.1919650630946397,0.003457060929171705,7851,9
50.0,0.2,1.25,3,0.1961033829536718,0.0032671189364268144,7840,9
50.0,0.2,1.25,4,0.1931608470451064,0.004663250582423192,7875,9
50.0,0.3,0.0075,1,0.026225659223459586,0.0009887593899425323,7461,9
50.0,0.3,0.0075,2,0.026068351142409293,0.0016659018185832992,7535,9
50.0,0.3,0.0075,3,0.026232950114060745,0.002321988338439047,7491,9
50.0,0.3,0.0075,4,0.026191648132400283,0.0018665958653135979,7457,9
