mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,E
0.1,0.0005,1,0.5301839410592132,0.7720542203468759,0.28805823956241494,0.00025542881706342515,10.697689008837735,0.7717862013416686,0.6278369204096522,6009.25,0.2923867701984244,10000.0
0.1,0.0005,2,0.578717905409458,0.88064746712386,0.27488571308338416,0.0019026200437963514,9.224494569397429,0.7884670558111246,0.6174653247835037,5500.0,0.28668438644785676,10000.0
0.1,0.0015,1,0.18520266892857112,0.10519949190313034,0.2538094019167472,0.011396452251326208,8.575852420299045,0.6884152316013857,0.6784721006924213,8590.25,0.044764359668120465,10000.0
0.1,0.0015,2,0.18201182614430214,0.10642756910145894,0.24651687014022225,0.011079208104928278,8.482646625770686,0.6880890449226971,0.678675554716438,8589.42857142857,0.048152773488603674,10000.0
0.1,0.001,1,0.18279922127559492,0.08524750244996888,0.27361246418251617,0.006738479825311903,10.228592537276624,0.6430267026929342,0.7074782012370734,8733.285714285714,0.021983067758427677,10000.0
0.1,0.001,2,0.2510766696318003,0.1457711350819147,0.34777294288237276,0.00860926559621784,6.896054693108636,0.7646677560756372,0.6310430531334459,8178.285714285715,0.07405703585664174,10000.0
0.1,0.003,1,0.17404117577891834,0.1007428903343033,0.23831187377873134,0.009027581753440662,8.495584938645413,0.6912982866424434,0.6766421037274855,8671.42857142857,0.052303699989653826,10000.0
0.1,0.003,2,0.17020644351761713,0.09545558289507096,0.23664339278947735,0.008313912040695886,8.423212224030255,0.6904801796872527,0.6771678360141185,8654.714285714286,0.052853854337638104,10000.0
0.1,0.005,1,0.1514846081999835,0.08752510593136784,0.20922557831088776,0.006218528556817556,8.398297013594037,0.684405799710307,0.6810135444673391,8728.285714285714,0.06217880996252815,10000.0
0.1,0.005,2,0.15520220238304056,0.09088701652767292,0.21361431160022337,0.005903075051566338,8.389783666792301,0.6801721104405047,0.6837092658507442,8750.714285714286,0.06304577495347806,10000.0
0.1,0.008,1,0.1460950015615708,0.08442750571736388,0.2035207530875911,0.004241744386737826,8.249924691028495,0.6725268962930072,0.6885710862393414,8815.0,0.07352660434408695,10000.0
0.1,0.008,2,0.14286036810749284,0.07994296893668063,0.20098658843806538,0.004791182577427339,8.354520690333985,0.675510264096146,0.6866680899373063,8764.875,0.07635870227543977,10000.0
0.1,0.013,1,0.12996617700846852,0.07660688147154673,0.18040893003677763,0.00291654782975087,8.254211256127112,0.6648105759559156,0.6935017518748484,8853.0,0.0939809312142202,10000.0
0.1,0.013,2,0.1304361090077464,0.07484844047726366,0.18435022256028458,0.001673557665163272,8.296591808276336,0.6671913316974736,0.6919766633150608,8842.142857142857,0.0929118829950997,10000.0
0.1,0.02,1,0.12097947812881027,0.0695271832889353,0.1709251153614705,0.0015066641920676645,8.208957580665643,0.6648314417832294,0.693484878005346,8898.0,0.11661688199988668,10000.0
0.1,0.02,2,0.11510843016104341,0.06214050541892767,0.16635548134451852,0.001720882559247437,8.214956539466831,0.6656651163212902,0.6929530844461925,8889.57142857143,0.11959709998084585,10000.0
0.1,0.03,1,0.10796554642121173,0.06277921204481526,0.15256811726182065,0.0005837497023561441,8.261789547591437,0.6644077079272184,0.6937573776101087,8896.0,0.1417169965887644,10000.0
0.1,0.03,2,0.1097699198973423,0.06851754200439343,0.14967763542547038,0.0013446605058352282,8.219147173895275,0.6633862437417848,0.6944106157836387,8879.57142857143,0.14553981102882574,10000.0
0.3,0.0005,1,0.47702977980594524,0.6659075606443816,0.2921524964494319,-0.004000495261779382,13.149879908359422,0.7476816739949503,0.6425400551919649,6477.285714285715,0.08431929608129662,10000.0
0.3,0.0005,2,0.7280493809025381,1.2349198166470619,0.2180030284356435,0.0031759263114280543,6.557723183240636,0.82098036765204,0.5975262473437087,3904.75,0.09121288839817868,10000.0
0.3,0.0015,1,0.26585745130009747,0.16110665146579564,0.3196091702317264,0.05099907614723986,9.505676402565191,0.7505086092913898,0.6397021161519907,7854.285714285715,0.024051698040881652,10000.0
0.3,0.0015,2,0.26157296414183445,0.16195124689767917,0.3093175529355155,0.05187712910713517,9.370831264092203,0.7416023573599022,0.6451836360723934,7854.857142857143,0.02453863300749096,10000.0
0.3,0.001,1,0.26415583484131666,0.15529213886820917,0.31961613501289865,0.05340339441325425,9.450741049678777,0.745423018296334,0.6428209952333069,7784.857142857143,0.02519999752966697,10000.0
0.3,0.001,2,0.26598548517106196,0.16246196342976585,0.3149211814311578,0.054587831520881355,9.516423377589891,0.7474173423892745,0.6416040073819217,7823.285714285715,0.025540155980932004,10000.0
0.3,0.003,1,0.255875076880307,0.15032550911089124,0.3143199657101555,0.04710467605175749,9.366718846376896,0.73942902235376,0.6465362082128393,7892.0,0.024255172828540526,10000.0
