mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,kt
0.1,0.0005,1,0.5070009576998571,0.6401649419465031,0.3728505683126172,0.0009864063868891498,7.017959792418095,0.8452050445539552,0.5842622341880701,5631.25,0.24559938313259616,20000.0
0.1,0.0005,2,0.46013690657844897,0.6009055300835567,0.31912415468127286,0.00024412460185624924,8.774847145206248,0.8045730921553569,0.6093154073509011,5979.35,0.2493080364777998,20000.0
0.1,0.0015,1,0.18369792968530405,0.1375879017773388,0.22088312627065781,0.008924832551027412,9.453837540368195,0.7151544347439114,0.6616374770430848,7821.05,0.039055198215503635,20000.0
0.1,0.0015,2,0.1874595528120166,0.1418894432870291,0.2246595509038057,0.008370112512178939,9.558989958006524,0.7161174036108251,0.6610241761833306,7809.1,0.04058395058084111,20000.0
0.1,0.001,1,0.19749846337706223,0.15115445910614922,0.2329680731516736,0.010874393829773716,9.58284092943527,0.7226799529071066,0.656931286634386,7778.8,0.03636117731410155,20000.0
0.1,0.001,2,0.1946133039088071,0.14921273218849831,0.2299722158011354,0.010041657156575692,9.538602805453383,0.717263695471321,0.6603197149681685,7791.65,0.03587096435832916,20000.0
0.1,0.003,1,0.16718713363628607,0.12655348333758057,0.2014389915096333,0.006381791436157855,9.381421748789274,0.7056541680860364,0.6675902362902979,7864.7,0.0513227837786359,20000.0
0.1,0.003,2,0.16729983914321622,0.12984098878274303,0.19839756125908195,0.006361125306524435,9.555217468402157,0.707603533856614,0.6663642199510692,7879.5,0.049809883827840545,20000.0
0.1,0.005,1,0.16332844097707516,0.12816274782542475,0.19441902716188492,0.004075106442555316,9.374078941350637,0.7017058242884032,0.6700745693791929,7918.15,0.06362283124457285,20000.0
0.1,0.005,2,0.16036903325423016,0.11841911185009232,0.19823433191148454,0.004084622762550129,9.378875184575012,0.6990666440208606,0.6717425134517561,7908.0,0.06431780920508866,20000.0
0.1,0.008,1,0.15043280179738636,0.11896958666457566,0.17893572729336144,0.0029602854521817617,9.427369738264883,0.6924480537971258,0.6759206635899052,7951.4,0.07946903636794157,20000.0
0.1,0.008,2,0.142633938178817,0.11295521248675917,0.1695681831349109,0.002744478021622649,9.408767632629752,0.6889356242931167,0.6781461546422495,7954.55,0.07928583593657788,20000.0
0.1,0.013,1,0.13140321117209247,0.10277199810552565,0.15869722165144584,0.0013371997645016695,9.336640696761128,0.6888757716605111,0.6781810316802815,7960.9,0.10365827184624572,20000.0
0.1,0.013,2,0.1305853200943023,0.10181027528826328,0.15782074687175257,0.0015396177230470995,9.382640586527641,0.6871259166191791,0.6792897424271097,7972.2,0.10269409781935017,20000.0
0.1,0.02,1,0.11969087244191819,0.1013431991851282,0.1370215149772238,0.001017029424545225,9.42008975305137,0.682233061679324,0.6823938979040657,7956.45,0.1303950891379086,20000.0
0.1,0.02,2,0.11643987660012078,0.09586590471773837,0.13608681493716326,0.000927032216488569,9.367909514583992,0.6803933140434557,0.6835621772829497,7936.55,0.13080968760359477,20000.0
0.1,0.03,1,0.10707927828526549,0.09322345803527587,0.12029729489170952,0.0006378064272198801,9.413416726520126,0.679575654044007,0.684081912422781,7859.1,0.16137970508168278,20000.0
0.1,0.03,2,0.11332314483441053,0.09603956930848576,0.1297281847435546,0.0008785358648171112,9.399210871014649,0.6788494668135312,0.6845447682083597,7871.15,0.16142908850233734,20000.0
0.3,0.0005,1,0.4104124535402602,0.524108394693032,0.3859992673684819,-0.08928277466496082,7.287019890551994,0.9034992065001672,0.5507847032816529,4944.3,0.12085137472694943,20000.0
0.3,0.0005,2,0.2980875961686455,0.3084950684015534,0.34257290136064455,-0.05489278181397571,11.287886533935723,0.8057253865944786,0.6089185085183618,5988.2,0.18463419759323213,20000.0
0.3,0.0015,1,0.26213583698494985,0.19395624893736504,0.2877578772385131,0.04255754574175171,10.787192696113747,0.7634682305052675,0.6317908639555551,7052.45,0.01933654367140903,20000.0
0.3,0.0015,2,0.26318578257687025,0.1998728687987827,0.2833628179598275,0.04313587774301118,10.744737313566498,0.753540896321188,0.6378544083483154,7058.15,0.01872946542459738,20000.0
0.3,0.001,1,0.2641319285064344,0.1968303201613224,0.2866725248119654,0.04476101233005592,10.758278407915178,0.7673068288057129,0.6294343467748121,7031.7,0.018251792611465,20000.0
0.3,0.001,2,0.2692851911894862,0.20632491474440062,0.28717243723456,0.04507302751612326,10.82255636899915,0.7643418390007696,0.6312459096800949,7011.4,0.018695294281734165,20000.0
0.3,0.003,1,0.2624978404638679,0.19544957829195617,0.29273607353764486,0.03681002306835054,10.450855601916386,0.7641111972662514,0.6313809396102377,7147.1,0.02020449066260658,20000.0
0.3,0.003,2,0.2526498512757319,0.18586471735318033,0.2830098788842732,0.036425104759497604,10.593524242061733,0.764803083531582,0.6309752616422497,7111.25,0.019836298526538405,20000.0
0.3,0.005,1,0.25030870249746573,0.1897310697808004,0.2776334347945844,0.03325290835814177,10.533765656137462,0.7537185229135517,0.6377453808367374,7185.95,0.022899902681401258,20000.0
0.3,0.005,2,0.24983901019731025,0.18606195228034555,0.27972570336376745,0.033890364543006354,10.499659420100064,0.7591746281548702,0.6343879608202532,7203.55,0.022354608903281455,20000.0
0.3,0.008,1,0.23718607254514806,0.1804836294980415,0.26513879790500045,0.028749722481893808,10.287320604455765,0.7481824572237169,0.6411296568084127,7290.9,0.026066407745445812,20000.0
0.3,0.008,2,0.23516374933273862,0.17934843116638055,0.2633659235153115,0.027613148648331132,10.282668467966126,0.7541119139306438,0.6375065683947297,7282.75,0.027133556116178653,20000.0
0.3,0.013,1,0.21398295009111332,0.16436543762989586,0.2408145706469079,0.02278588786360154,10.229072706363565,0.7429852064515573,0.6443295398783204,7365.05,0.03192341035412283,20000.0
0.3,0.013,2,0.21706767871001112,0.1658102620942365,0.24674473061533847,0.02158036556071944,10.208840511167036,0.7375043817614336,0.6477404361831032,7371.4,0.03260816124712457,20000.0
0.3,0.02,1,0.20249660258061972,0.15895300361263176,0.22980390758338637,0.016236295863007177,10.05308404114229,0.7253726840822744,0.6552659724050212,7463.6,0.03949764304334703,20000.0
0.3,0.02,2,0.20039945742047402,0.15550989741021085,0.23039735976162468,0.014891656539949689,9.957791526276434,0.7268751920805574,0.6543164039395033,7463.65,0.03921655462436812,20000.0
0.3,0.03,1,0.18050037342545638,0.1416236925100237,0.20872904280056867,0.010648015933999085,9.897090579994225,0.7187047938320041,0.6594101863840505,7536.3,0.04707058460734515,20000.0
0.3,0.03,2,0.1824408402217616,0.15000219028565448,0.20404259346664683,0.010836899551313556,9.874564801954467,0.7163415109734734,0.6608869953276847,7528.25,0.04911453787231632,20000.0
1.0,0.0005,1,0.1903395080104526,0.11490845495597343,0.2583025918996499,0.007467973342751401,14.539111684444283,1.0610358119820773,0.5190911956505152,5921.9,0.03827098313547795,20000.0
1.0,0.0005,2,0.2654319431311523,0.2716256671548757,0.2583330432543752,0.0009051792304241868,12.002243997494073,1.0028614454865816,0.5091936034957215,5467.6,0.040180140064210945,20000.0
1.0,0.0015,1,0.2820211410002279,0.21744759211685602,0.2531845209752862,0.0934101752364787,12.657391399862105,0.7469376251959574,0.6419057579874965,6134.45,0.005885144077706324,20000.0
1.0,0.0015,2,0.2784290129891873,0.21250427982906492,0.24703981666060137,0.09731392947952554,12.348677206076578,0.7428790868593999,0.644404969358805,6140.15,0.006002826654290445,20000.0
1.0,0.001,1,0.27497223296648704,0.21782593312612114,0.23684561311404068,0.0952729206959365,12.681392524349716,0.7397665754966247,0.64633582509429,6097.45,0.005369978981593321,20000.0
1.0,0.001,2,0.28408326744019885,0.2239641140223967,0.25636923897007513,0.08783318447781978,12.516321210534263,0.7361851211666549,0.6485399566080565,6126.75,0.005645611892688941,20000.0
1.0,0.003,1,0.28145000304343104,0.21680276615133734,0.25657061159415534,0.08952662649102831,12.297010673721692,0.745634998529503,0.6427067005723532,6187.55,0.0070712813321213795,20000.0
1.0,0.003,2,0.2761296503065186,0.22044058732763885,0.24946038144418697,0.0823583357718237,12.382070853789108,0.7517322529032429,0.638947934270521,6222.95,0.006306184283346417,20000.0
1.0,0.005,1,0.27356362896955777,0.2063861150351472,0.25477041976780257,0.08597072054295288,12.475715790227001,0.7574542668405495,0.635438773448497,6218.45,0.007591378875341047,20000.0
1.0,0.005,2,0.28218282765726227,0.21551293462024973,0.2609768718141649,0.0878758495709025,12.270061313473102,0.7569622943462013,0.6357460622934734,6259.6,0.007267517603052139,20000.0
1.0,0.008,1,0.27291824482602206,0.2083319242486202,0.256186705697815,0.08131785060109016,12.092414466679553,0.7621901339805641,0.6325679511180999,6310.1,0.008637938352536794,20000.0
1.0,0.008,2,0.2687774347794063,0.20855330142097914,0.24922679383919472,0.07977476899346421,11.998501556550092,0.7609139198267328,0.6333321229961146,6314.65,0.00914330341101599,20000.0
1.0,0.013,1,0.2719397339268562,0.20221752859869407,0.26705247272001936,0.07460945852294355,11.823540437359073,0.7681914251189785,0.6289105511821572,6424.95,0.010767430835630306,20000.0
1.0,0.013,2,0.2606374757177797,0.20026972866600215,0.2496575685713903,0.07134765499921114,11.933746962709273,0.7623316000245359,0.6324725613452128,6433.3,0.010859836704127015,20000.0
1.0,0.02,1,0.26236236459782314,0.20539190943531863,0.25657895315608503,0.06275386460529417,11.370591485014033,0.770004042554264,0.6278100725312916,6554.45,0.013314808966409639,20000.0
1.0,0.02,2,0.25781459675651813,0.2048779031308136,0.2505971793212442,0.06015411068250094,11.57777299788197,0.7671243462805426,0.6295629814901057,6543.3,0.012592468549961206,20000.0
1.0,0.03,1,0.24673336381508143,0.1945026714809174,0.250781322027784,0.048182737343547936,11.310233225884852,0.7721948280162534,0.6264745240073933,6678.45,0.01531854738893329,20000.0
1.0,0.03,2,0.2491315589279774,0.19566572454791561,0.25339112634763233,0.04920627293476895,11.358887249630211,0.768355354020219,0.6287954685459668,6705.6,0.014684760670560473,20000.0
0.1,0.0005,1,0.210268700574847,0.08068514309020804,0.34155630356684225,-0.001704044930919291,14.452277656286597,0.676670021155242,0.6860633932027586,8064.85,0.024620435958307135,200000.0
0.1,0.0005,2,0.6095519073240222,0.8518612294889083,0.36297355451487434,0.004269033656161446,7.206406336528683,0.8698209828671212,0.5702113597448026,4969.523809523809,0.12673254139593557,200000.0
0.1,0.0015,1,0.18841610834720685,0.1409253676394299,0.2269122998010114,0.008994551232855922,9.546368478569722,0.7131732032707214,0.6628769446757554,7798.4,0.08983243197871246,200000.0
0.1,0.0015,2,0.18454422924191233,0.13813000560214334,0.22245013597745372,0.00850831929609214,9.62367503083831,0.7148099795920977,0.6618486901492397,7778.75,0.09010935994199751,200000.0
0.1,0.001,1,0.19280146268460013,0.14792462670064765,0.22747202705078512,0.01020627071573038,9.552202662389105,0.7203574533035743,0.6583863796425915,7755.1,0.0850659421651668,200000.0
0.1,0.001,2,0.19551260721985186,0.15029185784560534,0.23082297275142016,0.009910383981553764,9.54668474384866,0.7160293193817876,0.6610838719579402,7745.45,0.08500401728686209,200000.0
0.1,0.003,1,0.17325800663840293,0.13146633554169945,0.20869949756623102,0.006350179094103274,9.423712366568493,0.7076928232531836,0.6663122450432044,7859.55,0.10415717629279844,200000.0
0.1,0.003,2,0.1677886126867398,0.12772844933431976,0.20175531586772588,0.0060934625845743455,9.49212226406546,0.710881767168298,0.6643149509490563,7857.05,0.1033560072483368,200000.0
0.1,0.005,1,0.16462069295308748,0.12736289454740424,0.19733583354033435,0.004542661316349736,9.439581049238111,0.7048033270374104,0.6681234518336531,7905.95,0.11955322957746187,200000.0
0.1,0.005,2,0.16475915202802643,0.12571989340404252,0.1991805011821661,0.00461791533295678,9.394875447752213,0.7020044572393103,0.6698925921823438,7907.05,0.1219217090650044,200000.0
0.1,0.008,1,0.1476545833567184,0.11914343006831951,0.17345296743149205,0.0027127728456337375,9.364686045364547,0.6909734108111675,0.6768563224581168,7943.65,0.14073142066568842,200000.0
0.1,0.008,2,0.14615478817964683,0.11031077227325096,0.17863407396707195,0.0033647326889293403,9.357527786368712,0.6921632466447646,0.6760995253975832,7940.0,0.14249021463655717,200000.0
0.1,0.013,1,0.133859631075204,0.10564829290127724,0.1601616195829451,0.0019093462266091693,9.373041791935075,0.6921873824585214,0.6760862181840308,7944.75,0.17081797104814153,200000.0
0.1,0.013,2,0.13350289617321723,0.10701327883505715,0.15788411701188504,0.0021083934973928084,9.373358265679993,0.6888184940865718,0.6782182071407109,7952.75,0.17126782745006874,200000.0
0.1,0.02,1,0.12929415081579348,0.1022882644750881,0.15503013458539155,0.001269901329037428,9.421390410202074,0.6850966570171556,0.6805798695352924,7941.75,0.19961710692189147,200000.0
0.1,0.02,2,0.12870278872174695,0.1058031462953309,0.14999991073066785,0.0016025253207500316,9.36195233369929,0.6860272581851211,0.6799856095854862,7933.5,0.20146164802250172,200000.0
0.1,0.03,1,0.12349603380834877,0.1038478666484021,0.1422149785699866,0.0009292187835703719,9.42452337613977,0.6812647685129724,0.6830099888702259,7889.75,0.23327782557481397,200000.0
0.1,0.03,2,0.11716316002963909,0.10277925208966825,0.13024307007931885,0.0013039974938631018,9.49236742712436,0.6852806931335029,0.68045934533188,7878.8,0.2296384162786577,200000.0
0.3,0.0005,1,0.20488382470205027,0.08007162306342214,0.331128545345377,-0.0014325169888865354,14.741171229306616,0.6881459214388143,0.6786714263797015,7964.1,0.00695500444973107,200000.0
0.3,0.0005,2,0.6175807031073052,0.8347906327643412,0.38963022288714083,0.010740556687471547,7.02019578226403,0.885521789057224,0.5607131390627723,4912.142857142857,0.0524937801268208,200000.0
0.3,0.0015,1,0.25996417952798473,0.19442581389823915,0.2854253266625637,0.040077217053064315,10.908501860682481,0.7641843025270689,0.631337955237285,6945.1,0.045425956573566746,200000.0
0.3,0.0015,2,0.2599645113057404,0.20313965664851774,0.27590873943376193,0.04088062326346456,10.701330315749136,0.7680683443693703,0.6290020310024014,6956.2,0.04573674516096789,200000.0
0.3,0.001,1,0.2698912223394223,0.21204110878280158,0.2833786982684957,0.044362639435997726,11.033963482194896,0.7577453476444778,0.635273231448492,6913.25,0.0466835061248026,200000.0
0.3,0.001,2,0.2652582693017659,0.20399231789365208,0.282556068640366,0.04396815235614202,10.85014163546927,0.7596906844755327,0.6340853315968141,6929.15,0.048692001715826834,200000.0
0.3,0.003,1,0.25653967348192885,0.196456092895614,0.27933675099232935,0.03728650623592265,10.603744479051269,0.7580380123549599,0.6350960602654853,7113.05,0.04564628978206746,200000.0
