mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi
0.02,0.0005,1,0.1936903975232293,0.10845494863243296,0.28034852183745107,-0.0014226643427652024,12.9271346333192,0.6888209232734872,0.6786150802318122,8028.368421052632,0.1622960503078669
0.02,0.0005,2,0.5017656261331884,0.6596319130596447,0.3423307089404603,0.0015686339959562455,7.9580088168606,0.82441157420572,0.5970862019440106,5738.476190476191,0.2840468029290906
0.02,0.0005,3,0.5222028268307718,0.6678273169368547,0.37431439022602825,0.0022639460575435756,7.564419340734484,0.8434917481128869,0.5855527541146734,5637.809523809524,0.2958101942764452
0.02,0.0015,1,0.11819858071885588,0.09182126189043191,0.1440507270832813,0.0005251715916857261,9.053773411608953,0.6867052224609472,0.6795559949258207,8177.6,0.2385360931989145
0.02,0.0015,2,0.11781576444978921,0.09392728000006775,0.14123966811570793,0.00046458022506765654,9.015661021104705,0.685485481049292,0.6803332603477543,8176.25,0.23665527299450062
0.02,0.0015,3,0.12178365042348589,0.09470174131730928,0.1484229390389838,0.00044262606247309576,9.049080372041209,0.6886557849924643,0.6783241693829655,8165.05,0.2375945814150761
0.02,0.001,1,0.1162500090055846,0.09086154350307586,0.1409605586202831,0.0006779153306219158,9.084721482133535,0.6870712380420769,0.6793239327235755,8163.95,0.21096860558846195
0.02,0.001,2,0.12291769255412617,0.09706636263384363,0.14816441158324362,0.0006046171290109809,9.062340383299418,0.6844079882249564,0.6810203165302671,8175.25,0.2093594293750413
0.02,0.001,3,0.11757835791137036,0.0908424231153311,0.1437062870888141,0.0006080083972019726,9.040359892916992,0.6883797925671684,0.6784951380456944,8169.35,0.21034611675811
0.02,0.003,1,0.10984766468725049,0.08474522275594058,0.13461158176141505,0.00033852467922067806,9.052491793973097,0.6829341325566146,0.6819508708159537,8172.55,0.2884032965191264
0.02,0.003,2,0.11205539641751303,0.08403763222273615,0.13977278045274147,0.00030038415146412944,9.093196299556464,0.6890688403054855,0.6780629469615762,8172.1,0.29008761162275964
0.02,0.003,3,0.10654996615676426,0.08672394263145586,0.12612302925936394,0.00025296491095533753,9.115301085733858,0.6836375822579424,0.681507172315608,8158.0,0.29204494771121536
0.02,0.005,1,0.10513764476212666,0.08351087010057343,0.1265584014748043,0.0002060146088673146,9.099783434374022,0.6811610539456024,0.6830742142441352,8136.8,0.3382697396188663
0.02,0.005,2,0.11046308831108768,0.08894817296551924,0.1317773084151157,0.0002006958320402695,9.059784879424098,0.6830558910768995,0.6818752017295562,8144.05,0.3370237278085704
0.02,0.005,3,0.11123187041156357,0.09125597373324576,0.13102262704419748,0.00018514208966233976,9.076666376936602,0.6781845263538246,0.6849683826973397,8139.45,0.33748940457657284
0.02,0.008,1,0.10127961752805652,0.08513039633010999,0.11735702402826013,7.181778160134341e-05,9.110526005417224,0.6769396868517573,0.685759600425347,8105.75,0.38224491102802627
0.02,0.008,2,0.11061064212118861,0.08858783640393367,0.1324026358257022,0.00023081850916369085,9.131066185382236,0.6805867883233397,0.6834402333198742,8089.7,0.3827077145327418
0.02,0.008,3,0.10433908283248358,0.08500013041137994,0.12350795899713947,0.00017007904056282503,9.146448559065501,0.6795529388973651,0.6840972508302299,8093.0,0.38221154791666684
0.02,0.013,1,0.10615094949864601,0.09205837508992054,0.12014269056048255,0.00010083287822982523,9.245657795996085,0.6766390428790116,0.6859516948967787,8027.05,0.430841904922927
0.02,0.013,2,0.099637120133615,0.08264540668425567,0.11643522028652767,0.00019361030611332448,9.295080518313746,0.6772758824811254,0.6855489448371865,8016.85,0.42570032580129186
0.02,0.013,3,0.10943548389554099,0.0884057731445403,0.1302803222346145,0.0001848717864893585,9.233988522874457,0.678868778925166,0.6845327533632269,8014.6,0.43286397978664415
0.02,0.02,1,0.10122940494952162,0.0889706944848419,0.11343599691381438,5.212288884014455e-05,9.324856507359756,0.6787032182622841,0.6846383373885487,7927.3,0.47285547566274266
0.02,0.02,2,0.09769369769953987,0.08307957615917301,0.11209864684958444,0.00020917679471208161,9.322624734421428,0.6747172636682435,0.6871752473022678,7925.65,0.4714339594216056
0.02,0.02,3,0.1011722875299822,0.0855481417445629,0.11667083399890257,0.00012559657454649567,9.352540645159007,0.6787327426297028,0.6846223335377546,7923.8,0.4725965233534419
0.02,0.03,1,0.10124629127571697,0.09004015010448142,0.11246650492809336,-1.4075607230001533e-05,9.485487389826826,0.6810180659021732,0.6831707895694584,7817.6,0.516136876426841
0.02,0.03,2,0.10148381303268013,0.09077945701704895,0.11214850981028301,3.966290588519435e-05,9.42984534435018,0.6761557594882099,0.6862630616602854,7812.35,0.5136691077174232
0.02,0.03,3,0.09778863760720165,0.0848918328071194,0.11057082212608933,0.00011462151471448578,9.472661552267807,0.6756988569636312,0.6865472548718052,7798.8,0.5140196729739592
0.02,0.05,1,0.0973845793375963,0.0913655214999297,0.10325885917121372,0.00014477804028180022,9.772683467428694,0.6880476687937398,0.6787047856051646,7606.1,0.56616704852534
0.02,0.05,2,0.09482486182117225,0.08957384132838857,0.09996164598565889,0.00011423826213549059,9.738324080704512,0.6889741155362948,0.6781162286918602,7594.2,0.5688326331999121
0.02,0.05,3,0.09451707818347423,0.09094007062724335,0.09798021865700177,0.00011387362996955216,9.713537932399623,0.6911245253098663,0.6767562648520637,7600.8,0.567502065985615
0.02,0.08,1,0.09226984757032428,0.09458292444581165,0.08985734692269556,9.94257643306443e-05,10.049565943554693,0.7017222542698704,0.6700607923721522,7346.5,0.6170132609808954
0.02,0.08,2,0.0926985241813142,0.09394266607991478,0.09136661899632215,8.776207148540644e-05,10.07717527704846,0.701257625526162,0.6703551350657827,7334.45,0.6159647114963004
0.02,0.08,3,0.09229847745033394,0.09228355033670611,0.0921842263027255,0.00012917423860188577,10.061281489058034,0.6994062002438837,0.6715233603437625,7349.35,0.6161114255184421
0.02,0.12,1,0.08856479804516974,0.0937298560081804,0.08334075468809153,5.8986859316989386e-05,10.43234023477347,0.7240820595060736,0.6560548784543037,7026.65,0.6542978465443958
0.02,0.12,2,0.0897994871989122,0.0945563504830452,0.08504136782617142,1.2552551849421828e-06,10.465487376065543,0.7257636702253851,0.6550059104854266,7035.05,0.6525237165278699
0.02,0.12,3,0.08043093451631886,0.08501606326971647,0.0758167220753664,2.9082998205648673e-05,10.47619475252912,0.7252175799771797,0.6553411126004203,7016.4,0.6559641495764084
0.02,0.2,1,0.08013474550952975,0.09737121561889833,0.06286208878721058,3.618611523155822e-05,11.209151898254925,0.7588481214528164,0.6345927374679794,6563.8,0.7015466008386858
0.02,0.2,2,0.075481854401064,0.08979904184290419,0.06112907580944167,3.5594472688558764e-05,11.249059953400204,0.7582656262732658,0.6349530222669207,6559.0,0.7000561026189468
0.02,0.2,3,0.07289073764561263,0.08766665967287247,0.058092071329825266,2.274687884269808e-05,11.254294925544784,0.756521349064521,0.6360165994712873,6551.6,0.6980602028278041
0.02,0.3,1,0.06583501443546139,0.08553200899798655,0.046017512920667365,0.00012050760877617261,12.12528110375499,0.7882382140207654,0.6167963432534522,6094.3,0.7279774144767515
0.02,0.3,2,0.07372194352990487,0.09430140648934549,0.05305308387552471,8.939462810739615e-05,12.113470766219379,0.7901871274288587,0.6156243130114618,6116.9,0.7295923884621678
0.02,0.3,3,0.06630650441825643,0.0837172729037827,0.04872540072406922,0.0001703389663138939,12.120402692434997,0.7929095204142455,0.6140023866072865,6105.75,0.728460198232774
0.05,0.0005,1,0.5351601697682549,0.7134588161006494,0.35269398270922525,0.004167534014086706,6.99863757049663,0.8518428520995481,0.5805722825685067,5420.428571428572,0.18169740896532635
0.05,0.0005,2,0.27706759997318614,0.22489130113509734,0.3291590571712043,8.483941884463704e-05,12.032643913025149,0.7249034498806373,0.6567031420085391,7502.3,0.08745458894650497
0.05,0.0015,1,0.14536721538095987,0.10664761468687071,0.18154631943784644,0.002540490999038293,9.243237479825059,0.7002548759433773,0.6709984621346201,8025.65,0.11558438821022562
0.05,0.0015,2,0.1472294777004493,0.11249212676804943,0.1793574981546103,0.002609334496777198,9.229983550193644,0.6983773069484032,0.6721753668718818,8031.7,0.1144344932767325
0.05,0.001,1,0.15885848660530014,0.11609311490480168,0.19896669946564885,0.002657153832243661,9.51774106766857,0.695147092718385,0.6742435874138033,8011.5,0.10578379947001286
0.05,0.001,2,0.15399130675182363,0.11621427873194583,0.1886896026032165,0.0030787338070405543,9.297883516278478,0.696521997290418,0.6733513362678967,8013.45,0.10689270829156106
0.05,0.003,1,0.13258966984685494,0.10114242925131081,0.1623719130903844,0.0016649921678890216,9.170373544215009,0.6872991033876927,0.6791881333519405,8078.8,0.1420333136285871
0.05,0.003,2,0.13687470154928055,0.10531742734964515,0.16685086267944313,0.0015811126956077482,9.226994893301317,0.6912823779103971,0.6766649619106543,8055.6,0.14125531391835844
0.05,0.005,1,0.12607957240763087,0.10078838568197326,0.15009344400642777,0.001277320656111514,9.236267076333665,0.6870467726636681,0.6793429997358215,8079.15,0.17264642720612955
0.05,0.005,2,0.12947415695169912,0.1013199832774487,0.15635426874286212,0.001274060751317326,9.205617404485153,0.6884195076457322,0.6784699421907987,8074.15,0.1727417662709424
0.05,0.008,1,0.12005865886847407,0.09467098740148605,0.14475556253155428,0.0006907675052369122,9.164034505365098,0.6798054631407529,0.6839382237163447,8072.6,0.20658649422424857
0.05,0.008,2,0.12400494487959106,0.0960589979002197,0.1513059215630994,0.0006449736255253496,9.195961718467652,0.6823058020580971,0.6823482417228519,8062.1,0.2048183142716625
0.05,0.013,1,0.11174069594050136,0.09014913933135224,0.13280690322112704,0.0005253532546557774,9.111666262871356,0.6812152766195776,0.6830485188400683,8025.5,0.25195756112334394
0.05,0.013,2,0.1143337796180633,0.0930835501599792,0.13516805261838713,0.0004159603339364471,9.209168418517098,0.6810612435433593,0.68313887504584,8028.65,0.24844194234859812
0.05,0.02,1,0.11590681710955134,0.0967883043900859,0.13469263217809468,0.00033269623892867746,9.212231294990172,0.6785778254857078,0.6847208168252317,7961.55,0.28669512765790184
0.05,0.02,2,0.1103367950385014,0.09601768966566686,0.12427907307584596,0.0003768257145436352,9.29142482737692,0.6815667606925936,0.6828194575891231,7949.2,0.28642383211266065
0.05,0.03,1,0.10392157789316545,0.08893693851378236,0.11853209055269534,0.0003741281176322804,9.422717936518513,0.6801071551645533,0.6837480181687062,7855.7,0.32558572524443496
0.05,0.03,2,0.1040431070075479,0.09070018163103033,0.11695626901003395,0.0004297614921230557,9.423997951489486,0.6782705669082635,0.6849137349631327,7872.15,0.3252453993455376
0.0,0.0005,1,0.5047428135047028,0.6730233958514837,0.33646223409126236,0.0,7.30325143832722,0.832151602873019,0.5921541934808632,5665.6,0.0
0.0,0.0005,2,0.42141487066384575,0.5271072847545738,0.3157224618473177,0.0,8.936053160282533,0.7905385444433989,0.6172754695311237,6293.65,0.0
0.0,0.0005,3,0.2852943489345655,0.25052323932617865,0.32006546249606427,0.0,10.573017263208829,0.7444087397636798,0.644763908694906,7346.75,0.0
0.0,0.0015,1,0.10127615931890624,0.07942191469288884,0.12313040347623476,0.0,8.962700985562815,0.6839601078042897,0.6813049240614174,8199.45,0.0
0.0,0.0015,2,0.10087066358440955,0.07922512770281187,0.12251620159275182,0.0,9.08467690463598,0.6775618470257916,0.6853654118210166,8197.3,0.0
0.0,0.0015,3,0.10325316411505743,0.07884342604937229,0.12766290302845626,0.0,9.035460384610435,0.6821446602084387,0.6824533402536775,8220.3,0.0
0.0,0.001,1,0.10472048558084898,0.0818741770414286,0.12756679799670448,0.0,8.99522280483497,0.685170977604041,0.6805303430705543,8205.1,0.0
0.0,0.001,2,0.10079649897401106,0.07980852167680745,0.12178447568112734,0.0,9.043148974725147,0.6849228803713785,0.6806893646816388,8226.5,0.0
0.0,0.001,3,0.10314427555297274,0.08124874772035322,0.1250398032685835,0.0,8.969311058249735,0.6850765112397312,0.6805874856643677,8206.3,0.0
0.0,0.003,1,0.10119138121666742,0.08189694540826101,0.1204858124391139,0.0,9.097619368421984,0.6790699349623861,0.6844082435975798,8155.3,0.0
0.0,0.003,2,0.10315674945044362,0.0825343860407306,0.12377911442039147,0.0,9.09776718875031,0.6795092715796869,0.6841316978176301,8157.35,0.0
0.0,0.003,3,0.10028374154387092,0.08277124061053318,0.11779624043243164,0.0,9.041316967444176,0.6799717091028402,0.683834725967009,8130.95,0.0
0.0,0.005,1,0.09841381124907525,0.07703898080271802,0.1197886422551985,0.0,9.112786729169532,0.6769384224636388,0.6857643161263647,8105.15,0.0
0.0,0.005,2,0.10017250296418274,0.08135378930304901,0.11899121763356582,0.0,9.149783949448299,0.6727668331011689,0.6884226269894771,8108.3,0.0
0.0,0.005,3,0.10350725281365272,0.08331419205080783,0.1237003146522121,0.0,9.108560343536016,0.6803692971830494,0.6835820921058262,8114.55,0.0
0.0,0.008,1,0.09708537916206186,0.08099194790065024,0.11317880940297631,0.0,9.250877950273937,0.6763746825152684,0.6861258341098745,8032.05,0.0
0.0,0.008,2,0.10060504992614956,0.08364913900615109,0.11756095798115321,0.0,9.20531409593861,0.6762926607578612,0.6861726327927299,8038.2,0.0
0.0,0.008,3,0.09679810940242131,0.07504301125487714,0.1185532094905404,0.0,9.19935454670597,0.6738649129190882,0.687719374276299,8052.05,0.0
0.0,0.013,1,0.10219707984525184,0.09040863746450245,0.11398552236787436,0.0,9.301965161099613,0.6797576129283671,0.6839689139741391,7952.2,0.0
0.0,0.013,2,0.09838743201771283,0.08274785981990228,0.1140270026895969,0.0,9.304031728590088,0.6771237508491914,0.685644959684047,7959.85,0.0
0.0,0.013,3,0.0976413882789928,0.08457628352895218,0.11070649124108382,0.0,9.32028105289147,0.6764538010315959,0.6860681052916655,7935.8,0.0
0.0,0.02,1,0.0982318268830051,0.08925945301243374,0.1072041999418637,0.0,9.381371127209299,0.6796848331963867,0.6840125797879117,7851.0,0.0
0.0,0.02,2,0.09419191836916102,0.08198853364889658,0.10639529642838294,0.0,9.461547136048283,0.6719297439336096,0.6889542648322065,7854.6,0.0
0.0,0.02,3,0.09508093077348309,0.08201300677042166,0.10814884760426416,0.0,9.424329849858015,0.6762265671125276,0.6862191675640613,7857.05,0.0
0.0,0.03,1,0.09347110845391353,0.0862892926194934,0.10065292714035759,0.0,9.603070633441973,0.6831979748254333,0.6817835118736857,7723.25,0.0
0.0,0.03,2,0.09201026234279464,0.08675925580067866,0.09726126999492973,0.0,9.533589753816962,0.6813238135779491,0.6829760746127947,7745.15,0.0
0.0,0.03,3,0.096521750445314,0.09025665252719475,0.10278684981557185,0.0,9.620557807874679,0.6799107339215921,0.6838706829207157,7742.05,0.0
0.0,0.05,1,0.09266005458300434,0.09147579342199137,0.09384431661056523,0.0,9.84161186505872,0.690705136652474,0.6770253615755134,7530.5,0.0
0.0,0.05,2,0.0879727970953579,0.08354828905226078,0.09239730760132309,0.0,9.79746686470031,0.6914885005455778,0.6765273915213579,7502.0,0.0
0.0,0.05,3,0.08993403827239481,0.08752873494044154,0.0923393410016584,0.0,9.833396510150225,0.6943254232724099,0.6747311371298162,7504.25,0.0
