I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007146951812280702,1.958110614035088,0.0005,0.00012297339157894737,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.0005_s1,0.10865233561403508,0.03,57,1,-0.2125912507017544
0.0007062649854385965,2.0050397614035087,0.0005,0.00011961646980701755,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.0005_s2,0.11117495078947369,0.03,57,2,-0.22292459859649125
0.0007124440428070175,1.970692847368421,0.0005,0.00011870846166666668,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.0005_s3,0.1296536861403509,0.03,57,3,-0.2553274898245614
0.0007036913464912281,2.019611201754386,0.002,0.00038338414649122807,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.002_s1,0.11102168345614036,0.03,57,1,-0.22426377228070174
0.0007085956447368421,1.9916734438596493,0.002,0.00039029396473684217,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.002_s2,0.10285866805263158,0.03,57,2,-0.20482949280701754
0.0007138964638596493,1.9622736421052631,0.002,0.00038790190385964914,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.002_s3,0.10969089022807017,0.03,57,3,-0.21533031754385965
0.0007089516357894737,1.989699605263158,0.006,0.0011433882947368419,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.006_s1,0.10475064603508771,0.03,57,1,-0.20843176228070173
0.0007108381715789474,1.9792619245614036,0.006,0.0011470519228070177,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.006_s2,0.10763215585964912,0.03,57,2,-0.2130374250877193
0.0007130467852631579,1.966922894736842,0.006,0.0011570073070175438,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.006_s3,0.09246226901754387,0.03,57,3,-0.18182654877192983
0.0007112325694736843,1.9771009333333331,0.015,0.003055183989473684,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.015_s1,0.08951377561403509,0.03,57,1,-0.1769278984210526
0.0007062879263157895,2.0047673473684213,0.015,0.0030280592403508773,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.015_s2,0.0914757150877193,0.03,57,2,-0.18341470473684213
0.0007119431077192983,1.9731930105263158,0.015,0.0030273986578947367,0.5,1000.0,False,e0.5_k1.0e3_mu0.03_T0.015_s3,0.08540502649122807,0.03,57,3,-0.1687200392982456
0.0007143630692982456,1.9597208719298245,0.0005,0.0001417252252631579,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.0005_s1,0.11415579947368422,0.0,57,1,-0.22373105771929824
0.0007054664470175439,2.009544692982456,0.0005,0.00013459028456140352,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.0005_s2,0.1047900012982456,0.0,57,2,-0.21067090508771927
0.000711232118245614,1.9769519245614036,0.0005,0.00014278820824561406,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.0005_s3,0.11381786563157895,0.0,57,3,-0.22508950210526313
0.0007104557980701754,1.981261836842105,0.002,0.00041450022614035085,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.002_s1,0.10286638078947369,0.0,57,1,-0.20377678368421054
0.0007064671285964912,2.0038387228070174,0.002,0.0004079389482456141,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.002_s2,0.10169982542105263,0.0,57,2,-0.2038133040350877
0.000708004458245614,1.9950052385964911,0.002,0.0003994642629824562,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.002_s3,0.10796443342105264,0.0,57,3,-0.21541123929824557
0.0007076881554385965,1.9968637982456139,0.006,0.0011744942578947367,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.006_s1,0.0901161223508772,0.0,57,1,-0.17999064807017545
0.0007068203415789475,2.0018062350877193,0.006,0.0011684121649122806,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.006_s2,0.09590351478947366,0.0,57,2,-0.19198246561403512
0.0007081604805263158,1.994210692982456,0.006,0.0011791986421052633,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.006_s3,0.10537939871929825,0.0,57,3,-0.2102089040350877
0.0007071015426315791,2.000209543859649,0.015,0.003060196998245614,0.5,1000.0,False,e0.5_k1.0e3_mu0.0_T0.015_s1,0.08245282500000001,0.0,57,1,-0.16495967175438594
