mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
0.15,0.02,1,0.0010070313428742516,0.14492699595758832,0.11129290557912383,0.1755209676772003,0.0030401133345803783
0.15,0.02,2,0.0010236112107485029,0.13801571432031023,0.10580854364569398,0.16738990552739252,0.0028329799739888256
0.15,0.03,1,0.0015541084802395213,0.13233400790190072,0.10498142833376785,0.15725731148490021,0.002429271445835255
0.15,0.03,2,0.0015453511844311376,0.1293371456539746,0.10206330260820795,0.1541916934118762,0.002419295696840232
0.17,0.0005,1,6.16769270748503e-05,0.31645489731605025,0.2971260279217378,0.33375178437775976,0.002031984813871982
0.17,0.0005,2,6.446954535928144e-05,0.2469911212079366,0.20090932926038302,0.29164483620942877,0.0014280744423230435
0.17,0.0015,1,0.00010579944181437126,0.22361600705052193,0.16167528059093642,0.26358486011317805,0.021971872126462292
0.17,0.0015,2,0.0001094892144730539,0.22258167103241902,0.167540859480646,0.2565102963858832,0.021112188248656964
0.17,0.001,1,8.082013393413175e-05,0.22701729736710974,0.16562807903886673,0.265175788908252,0.023230723522021247
0.17,0.001,2,8.352825255688622e-05,0.23081102548488916,0.17195985495068683,0.26590618284372153,0.023756015999445088
0.17,0.003,1,0.00018931188649700602,0.21069984827906943,0.1526570353855685,0.25079762084013807,0.017945039791219797
0.17,0.003,2,0.00018977199257485034,0.21255912199449714,0.1567895315665067,0.2510409153806519,0.017287797294702444
0.17,0.005,1,0.00028901003553892215,0.19797205250752029,0.146481607140371,0.23607465337939662,0.013387846902374665
0.17,0.005,2,0.00029062882583832337,0.19852027422675758,0.1434499135370353,0.2400477640301459,0.013542868380627062
0.17,0.008,1,0.0004391543822155689,0.183172053910219,0.13585829463589857,0.2199554568099173,0.010530358073875645
0.17,0.008,2,0.00043599741077844314,0.18488497019354413,0.1369494115536096,0.22250258893483307,0.010317936165250768
0.17,0.013,1,0.0006836098567065868,0.16740815285178462,0.12634088566593307,0.20182186778207165,0.006653550861516989
