Tgran,Theta,frac_strong,label,life_all,life_strong,life_weak,mu_g,n_ep_all,n_ep_strong,n_ep_weak,rate_all,rate_path_all,rate_path_strong,rate_path_weak,rate_strong,rate_weak,seed
0.0005,0.0001122577,0.2504982370075119,mu0.001_T0.0005_s1,1.377562471255557,2.3999999999999995,1.0358437308242991,0.001,6523,1634,4889,0.0070961263740706194,0.014085727968443406,0.012338894276836971,0.01466955416032005,0.004114081908616883,0.00809278431159392,1
0.0005,0.00011819562333333333,0.2565619784554696,mu0.001_T0.0005_s2,1.3685889849795174,2.3999999999999995,1.0126469387755102,0.001,6591,1691,4900,0.007123701475831802,0.013821429858314443,0.01241841176502033,0.014305614265612474,0.004326458267246202,0.008089035815774302,2
0.0005,0.00014489811333333333,0.24208511264909438,mu0.001_T0.0005_s3,1.3226814902076274,2.389178832116788,0.9820322517971634,0.001,6791,1644,5147,0.009141250900624918,0.01563824199427399,0.014338949265356919,0.016053248259348726,0.0064860567886354135,0.009989344765033457,3
0.002,0.0004246037,0.16777531411677754,mu0.001_T0.002_s1,0.8851567944250869,2.309433606041535,0.5980246130423751,0.001,9471,1589,7882,0.014923364085735056,0.02727603474913288,0.02429726864104726,0.02787654976381799,0.007091269960403251,0.01650230313231616,1
0.002,0.00046636918000000005,0.16493252292160296,mu0.001_T0.002_s2,0.8483444936643658,2.2816677076826974,0.5652516654330125,0.001,9707,1601,8106,0.017722356760015958,0.030127372803554268,0.026516898999086404,0.030840470331429053,0.00903547818318848,0.019438084936860365,2
0.002,0.0004212014466666667,0.16083273803449333,mu0.001_T0.002_s3,0.8567527298703947,2.313616751269035,0.5775337468077344,0.001,9799,1576,8223,0.014789323540891231,0.027711009987225144,0.02463083914751065,0.028301347971341654,0.006752198813288105,0.0163296991423387,3
0.006,0.0011847022666666665,0.16008216364258815,mu0.001_T0.006_s1,0.49764053406367675,1.4138622754491017,0.323015407190022,0.001,14605,2338,12267,0.026731729496358082,0.04627219157440564,0.042408887240948254,0.04700850897324997,0.014746422517213122,0.029016040877889088,1
0.006,0.0012360816,0.17014323459880407,mu0.001_T0.006_s2,0.5032540675844805,1.4016510012259906,0.31905823209049017,0.001,14382,2447,11935,0.027783500305165007,0.047200463733235234,0.042032369389875354,0.048260063805141536,0.014871548511356473,0.030430802026107567,2
0.006,0.0011982494666666667,0.16457087885659313,mu0.001_T0.006_s3,0.5002989074417645,1.40701878914405,0.32168448758019413,0.001,14553,2395,12158,0.027043128683619477,0.0467309037095949,0.04296927275063567,0.047471906024672,0.015158615660126015,0.029384254583542727,3
0.015,0.0030481895333333334,0.2867417135709819,mu0.001_T0.015_s1,0.3081644777986241,0.5432224645583424,0.21366725120561159,0.001,19188,5502,13686,0.047840073315390634,0.07541644394722206,0.06974988248950627,0.07769449605451072,0.03632979242826633,0.0524673979859268,1
0.015,0.0030042533333333333,0.28805194805194806,mu0.001_T0.015_s2,0.3037527272727273,0.5335834084761045,0.21076395476103613,0.001,19250,5545,13705,0.04783141678612356,0.07566407236406594,0.06868391447449351,0.07848822234565508,0.0353408956647874,0.05288504244229349,2
0.015,0.0029765862666666664,0.29530756893786536,mu0.001_T0.015_s3,0.3000496663045165,0.5191818500350385,0.20822039497834227,0.001,19329,5708,13621,0.04878347681257647,0.07622392760862357,0.07022737330681929,0.07873683649598125,0.03742903472641977,0.053541655758893365,3
0.0005,0.00010750340533333332,0.25532252939307276,mu0.01_T0.0005_s1,1.4270734032411818,2.399383945239576,1.0937038617452528,0.01,6294,1607,4687,0.007601050221949455,0.013184940701892238,0.011332981125998884,0.013819909560108715,0.004939973614759642,0.00851343556604035,1
0.0005,0.00010085873000000001,0.26098108368066686,mu0.01_T0.0005_s2,1.4377637063161268,2.3999262899262894,1.0979804772234272,0.01,6238,1628,4610,0.006912342622391876,0.012754872755188317,0.0109270536043908,0.01340035856375629,0.004331316221425707,0.007823820058568215,2
0.0005,9.853986133333334e-05,0.26499032882011603,mu0.01_T0.0005_s3,1.4594003868471952,2.3999999999999995,1.1202894736842104,0.01,6204,1644,4560,0.007198176367327889,0.012713953860635785,0.011392712064621526,0.013190296297619872,0.005233643512451729,0.007906442159743766,3
