mu_g,Tgran,seed,mu,Theta,A_c,A_n
0.05,0.0015,1,0.16495924129629636,5.9351593370370384e-05,0.029397366498050127,0.0494652666385241
0.05,0.0015,2,0.16930446111111117,5.741299422222222e-05,0.03023538688451576,0.049033583525371974
0.05,0.0015,3,0.16557850055555554,5.8810700407407394e-05,0.032235271108328786,0.04406152111796033
0.05,0.005,1,0.12963160611111113,0.00019753485388888887,0.02323023978993782,0.039900326679133354
0.05,0.005,2,0.12639973833333334,0.0001946240992592593,0.0259215911830504,0.03778424911127501
0.05,0.005,3,0.12820860240740742,0.00019491329462962962,0.024247105939933438,0.035397838030498716
0.05,0.013,1,0.10762436327777777,0.0005780216296296298,0.02155040749433358,0.030260322944509466
0.05,0.013,2,0.12305593555555555,0.0005910604614814815,0.024224163711699366,0.03531764048469548
0.05,0.013,3,0.11922270005555556,0.0005837638681481482,0.025124498707263472,0.03408922643041833
0.05,0.03,1,0.10225370862962962,0.001657400207407407,0.023701660371319218,0.026131423676269028
0.05,0.03,2,0.10949382098148146,0.0016521126851851854,0.025163079637357547,0.028291747294381536
0.05,0.03,3,0.10399236011111113,0.0016448382425925925,0.022624390631041838,0.02772282548314088
0.0,0.0015,1,0.10000472196296296,0.00030925158833333336,0.019000741845082755,0.026939970859869516
0.0,0.0015,2,0.11545476,0.0002893279822222222,0.024786958491979993,0.029379640179607404
0.0,0.0015,3,0.11430247277777777,0.00028570104629629625,0.024590161908938344,0.02803174868626405
0.0,0.005,1,0.10677083862962959,0.0007023501824074073,0.02209142974998475,0.028705838675849724
0.0,0.005,2,0.10437185748148149,0.0007036722964814813,0.021873938601164912,0.027336513133976843
0.0,0.005,3,0.10743127462962963,0.000703565133703704,0.021621446973743037,0.03077226818188579
0.0,0.013,1,0.0992809000740741,0.0016250619370370366,0.0223229337652656,0.027296611115339237
0.0,0.013,2,0.09521246603703704,0.0016667020796296297,0.020171164585941613,0.02318996709350538
0.0,0.013,3,0.08943556338888889,0.0016520002611111113,0.01925861362846919,0.020806127756708988
0.0,0.03,1,0.0904727758148148,0.003631626916666667,0.020327516269107303,0.022041684825405257
0.0,0.03,2,0.10120297898148148,0.0036686586759259255,0.023157492254870883,0.026077406349294542
0.0,0.03,3,0.09322732987037038,0.0036973508703703702,0.021106544306114444,0.02120992817436135
0.15,0.0015,1,0.24358454277777777,6.8413934e-05,0.041993275022124764,0.06773364717908088
0.15,0.0015,2,0.26396399425925926,6.997079862962961e-05,0.04288800073130622,0.07662971883337412
0.15,0.0015,3,0.24965322518518518,7.048015614814815e-05,0.042067169520644696,0.07186444211121548
0.15,0.005,1,0.20796113185185183,0.00018980812203703705,0.03527362728053915,0.06050181529057129
0.15,0.005,2,0.2234809512962963,0.00018793573777777778,0.034467634875030885,0.06684260829332643
0.15,0.005,3,0.19958633111111107,0.00019915805074074074,0.03391879192417602,0.05863084787938504
0.15,0.013,1,0.1681611790740741,0.0004245368287037038,0.028538423259259933,0.049855164498818
0.15,0.013,2,0.16784617037037033,0.00042580091444444437,0.027485752919147153,0.04923840604583761
0.15,0.013,3,0.16689529592592595,0.0004423704301851852,0.029794805987962546,0.048846433759347725
0.15,0.03,1,0.1335358374074074,0.0010320548003703702,0.025376156915683387,0.039084841783705304
0.15,0.03,2,0.12770639944444442,0.0010050262307407408,0.023924376758983918,0.03749059632726523
0.15,0.03,3,0.1261064062962963,0.0009928879740740738,0.02441018111368282,0.035294995082666994
0.1,0.0015,1,0.2216094807407407,6.006684620370371e-05,0.035014316818803015,0.06854210357405946
0.1,0.0015,2,0.22078364296296296,6.027416753703703e-05,0.035971927217645056,0.0660454456775047
0.1,0.0015,3,0.2159580905555556,6.427004090740742e-05,0.03833628311368366,0.05934766908066981
0.1,0.005,1,0.16604592074074073,0.0001754777572222222,0.028116500047644502,0.04966433819562939
0.1,0.005,2,0.18381281925925924,0.00017772612629629632,0.03237466670951286,0.05409276189853218
0.1,0.005,3,0.17486025555555557,0.00017439652351851855,0.03037651632009947,0.052537303992003445
0.1,0.013,1,0.13750890018518516,0.00044877814000000003,0.027006541452614562,0.040078208158014175
0.1,0.013,2,0.13645501777777777,0.000442639959074074,0.02424246178739361,0.03946539086013337
0.1,0.013,3,0.1332093962962963,0.0004552654890740741,0.026474458673372614,0.04008538414386105
0.1,0.03,1,0.10981564688888891,0.001172444088888889,0.024659675772216862,0.029141471072734095
0.1,0.03,2,0.11079479416666667,0.0011577842685185189,0.022289226880184154,0.03306070951044461
0.1,0.03,3,0.10851464233333334,0.0011084009148148149,0.023315038988119256,0.02983577553937349
0.2,0.0015,1,0.2823905127777777,7.585661661111112e-05,0.04111035889188426,0.08342646019285423
0.2,0.0015,2,0.28232888962962965,7.96977462037037e-05,0.04307601384300439,0.08064605586795193
0.2,0.0015,3,0.26166985388888897,7.463354301851851e-05,0.03843426267262935,0.07736549732192688
0.2,0.005,1,0.24252459537037035,0.00020049393092592594,0.036747456306133464,0.0729413762818735
0.2,0.005,2,0.2406093861111111,0.00022011893351851856,0.03843914535655793,0.0708413656168946
0.2,0.005,3,0.22126729870370368,0.00021274208166666662,0.03452666020768981,0.0665413586051895
0.2,0.013,1,0.18081953592592595,0.0004571818429629629,0.02959527038881671,0.05468923608575182
0.2,0.013,2,0.20089034537037037,0.00046866555240740736,0.034020938231734126,0.05862262804900464
0.2,0.013,3,0.1745181874074074,0.00045193930759259256,0.02885955949583251,0.05244295408896282
0.2,0.03,1,0.1407126003703704,0.0009535603625925927,0.02736260737056957,0.039465040519578054
0.2,0.03,2,0.14198875314814816,0.000972617497962963,0.02600995272905865,0.04200166148160923
0.2,0.03,3,0.14834721240740745,0.0009528146401851852,0.02722933454812444,0.04477323271300322
0.3,0.0015,1,0.3104404418518519,0.00010425538403703705,0.04747043645846154,0.08574650378425933
0.3,0.0015,2,0.30605666925925923,0.00010714711957407407,0.04736632140900155,0.08436665436815616
0.3,0.0015,3,0.3094238738888889,0.0001040082796851852,0.04560764591575117,0.08496245768133383
0.3,0.005,1,0.28090208777777775,0.0002714332122222223,0.04359970092124437,0.07843124569014366
0.3,0.005,2,0.2701414762962963,0.0002737916803703704,0.03988750512242571,0.07771981029425007
0.3,0.005,3,0.27543685018518516,0.0002618514537037037,0.039515564074928906,0.08029207448726347
0.3,0.013,1,0.22979283722222224,0.0005660700485185184,0.03594630986550307,0.06770959510557684
0.3,0.013,2,0.22551992037037039,0.0005587683111111111,0.03407470138416102,0.06852605364585257
0.3,0.013,3,0.23097674444444447,0.0005314803935185185,0.03559176421051914,0.07046554720922589
0.3,0.03,1,0.19116192499999998,0.001025592833148148,0.029875255184132476,0.059536817523541084
0.3,0.03,2,0.17622500111111117,0.0010431977614814814,0.030298984705213333,0.05422342978846646
0.3,0.03,3,0.18900615111111113,0.0010652430425925927,0.030633848417312256,0.060763429622644805
0.4,0.0005,1,0.34744292722222214,4.649564957407408e-05,0.04949754987600955,0.09303861107415509
0.4,0.0005,2,0.43271825592592594,5.101889335185185e-05,0.07366162087052476,0.12166501731730758
