label,mu_g,Tgran,seed,Emod,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
E1.0e6_mu0.1_T0.001_s3,0.1,0.001,3,1000000.0,57.53703160160454,81.0,0.19715370644133443,0.0861166564073962,10221,0.002414399937802199
E1.0e6_mu0.1_T0.003_s1,0.1,0.003,1,1000000.0,48.51241701499877,81.0,0.2597169534125662,0.11630680858253083,12201,0.0020862534394263444
E1.0e6_mu0.1_T0.003_s2,0.1,0.003,2,1000000.0,48.5814887686506,81.0,0.25264182003849894,0.10907750123608456,12198,0.0021315181832345254
E1.0e6_mu0.1_T0.003_s3,0.1,0.003,3,1000000.0,50.02284518828452,81.0,0.24346627183714548,0.10960515111923758,11950,0.0021412918252843166
E1.0e6_mu0.1_T0.008_s1,0.1,0.008,1,1000000.0,37.579711975745326,15.0,0.3209202483022737,0.15913117140254335,15832,0.002346998548733479
E1.0e6_mu0.1_T0.008_s2,0.1,0.008,2,1000000.0,39.60743229887329,20.0,0.3092246832953293,0.1536243890591261,15177,0.002303125867790044
E1.0e6_mu0.1_T0.008_s3,0.1,0.008,3,1000000.0,38.444839627521986,17.0,0.3170257216797444,0.1591072326668472,15464,0.0023669415768900414
E1.0e6_mu0.3_T0.001_s1,0.3,0.001,1,1000000.0,48.86820613911574,81.0,0.1372392363417243,0.045820823560823905,10653,0.015577581582268546
E1.0e6_mu0.3_T0.001_s2,0.3,0.001,2,1000000.0,47.86546501904673,81.0,0.1433717044165333,0.04701500069879032,10763,0.015668951539494512
E1.0e6_mu0.3_T0.001_s3,0.3,0.001,3,1000000.0,48.52659473783835,81.0,0.1348412038536143,0.045801705374347614,10566,0.014903317256122272
E1.0e6_mu0.3_T0.003_s1,0.3,0.003,1,1000000.0,40.84048370946623,21.0,0.16200655414639004,0.048005401409194466,12983,0.012960266827181264
