mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.0,0.08,1,0.009831678582934133,0.14371960300518827,0.14371960300518827,0.0,0.026246270873675346,0.02166026511221491
0.0,0.08,2,0.009850672511377246,0.14129433462396745,0.14129433462396745,0.0,0.02610529994057185,0.020992811868295682
0.0,0.12,1,0.015032898002994014,0.13086565343628426,0.13086565343628426,0.0,0.026144947721355023,0.017476937246608832
0.0,0.12,2,0.015069973901197605,0.13911605827159323,0.13911605827159323,0.0,0.027006951756141127,0.019365067535112614
0.15,0.0005,1,3.198865403293413e-05,0.44532912999418445,0.4280931602221845,0.017235969771999978,0.06002614734256666,0.0826715725125405
0.15,0.0005,2,0.00015018434722455088,0.4212744163829714,0.40748815736332883,0.013786259019642606,0.05564713641725993,0.0801822497721574
0.15,0.0015,1,6.690623151796407e-05,0.4056976991926008,0.38304224149397803,0.02265545769862285,0.052105376632365474,0.07557537228569432
0.15,0.0015,2,6.79454562754491e-05,0.4017211890020998,0.3795746480848685,0.022146540917231297,0.05051480360326162,0.07601007969189183
0.15,0.001,1,4.880055841017964e-05,0.4141875960524844,0.39069090335744955,0.0234966926950349,0.05140969108779274,0.07882061055094261
0.15,0.001,2,5.033252883233533e-05,0.4123051080777019,0.38885522752815715,0.023449880549544784,0.05346015861102455,0.07615825086760186
0.15,0.003,1,0.00012589551829341318,0.3870990723088669,0.37051075485866464,0.01658831745020225,0.048884089815169084,0.07461949478419794
0.15,0.003,2,0.0001261959980239521,0.3769767498778864,0.360786573821605,0.01619017605628126,0.04811786439584641,0.072144325005735
0.15,0.005,1,0.00018671544260479041,0.3534566340287432,0.3410907740650048,0.012365859963738495,0.046651830185327925,0.06704509526747365
0.15,0.005,2,0.0001901644275748503,0.3435935206917021,0.3313479621434326,0.012245558548269541,0.04342938122452659,0.06701993912892772
0.15,0.008,1,0.00028378699344311375,0.3226264140910673,0.3147026811054512,0.007923732985616126,0.04251310586547514,0.06238778935225371
