mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.08,0.001,2,0.18165072574074073,7.153000231481482e-05,0.12887054154201902,0.22401965542290184,0.010411254516560609
0.08,0.001,3,0.17022015092592593,8.270113111111114e-05,0.12029988457094924,0.206508411752346,0.013632005528556618
0.08,0.001,4,0.17771020592592596,7.60329013148148e-05,0.1275723064247885,0.2218808866097656,0.005967218817297809
0.08,0.001,5,0.16094050277777783,7.319903585185184e-05,0.1059688435467085,0.20840612873112244,0.007506033277724727
0.08,0.003,1,0.1361062562962963,0.00018105230777777772,0.09583238650131196,0.17464974038263675,0.0017303857086438945
0.08,0.003,2,0.14882255203703704,0.00018097700240740736,0.10146366414668322,0.1835057554255544,0.012675684501836454
0.08,0.003,3,0.1518291138888889,0.00018437346240740739,0.11181822954274304,0.18891629373910945,0.0029237044959253
0.08,0.003,4,0.14018899796296294,0.00017554005870370373,0.10577819720416015,0.16585406104505315,0.008745737676712578
0.08,0.003,5,0.14881395055555555,0.00018247181666666663,0.09789417985735718,0.19709263634005714,0.002641084913696773
0.08,0.005,1,0.12785306833333335,0.0002827384898148148,0.08701601778763515,0.1680270264084039,0.000663092470627652
0.08,0.005,2,0.14741771537037035,0.0002794050333333333,0.10936371687659951,0.18271179058618559,0.0027599232779556004
0.08,0.005,3,0.1312398314814815,0.00028432549777777775,0.10022046958200455,0.16076864123640403,0.00149055214455443
0.08,0.005,4,0.12754355074074072,0.0002822014246296296,0.09644278846469984,0.14482818709210293,0.01381612592467868
0.08,0.005,5,0.12373039574074073,0.0002860301022222222,0.08649767321804178,0.15630752072758208,0.004655597535857592
0.08,0.008,1,0.1345497738888889,0.0004501010764814814,0.10205987292107639,0.16749744578245657,-0.0004577709257551632
0.08,0.008,2,0.12601142,0.00044657457537037036,0.09654096638281402,0.15157992251729935,0.003901951099886669
0.08,0.008,3,0.12771256925925925,0.0004362305605555555,0.09669165395103263,0.1528279231627112,0.005905561404774662
0.08,0.008,4,0.11046584233333333,0.0004443034912962963,0.0902523527651364,0.12576934243724852,0.004909989464281728
0.08,0.008,5,0.12324280137037036,0.00046479641407407403,0.08449718876886578,0.16320226658497047,-0.001213852613095534
0.08,0.013,1,0.1100433025925926,0.0007286584514814814,0.08759635136437224,0.13264093528542714,-0.00015068146461419407
0.08,0.013,2,0.1256791326111111,0.0007304645137037038,0.09278175319372228,0.15681797026256458,0.0017585417659353453
0.08,0.013,3,0.11890888296296297,0.0007328017125925926,0.09874485015905535,0.13802568814139865,0.001047227625471936
0.08,0.013,4,0.11834600999999996,0.0007247523912962962,0.09720188816402912,0.13954152105973308,-5.138922376227151e-05
0.08,0.013,5,0.11716772346296296,0.0007374027712962962,0.08773708423117191,0.14298748971356753,0.0036108729811864804
0.08,0.02,1,0.11359544464814818,0.0011968125018518517,0.08680058472773591,0.14238247328670312,-0.001992168718142673
