mu_g,Tgran,seed,chi,E
0.1,0.0005,1,0.3313177951705944,10000.0
0.1,0.0005,2,0.3319483146811849,10000.0
0.1,0.0015,1,0.10190483063721434,10000.0
0.1,0.0015,2,0.1051063232354337,10000.0
0.1,0.001,1,0.0804615560496523,10000.0
0.1,0.001,2,0.13299289810222747,10000.0
0.1,0.003,1,0.10889415903307725,10000.0
0.1,0.003,2,0.11054318133652336,10000.0
0.1,0.005,1,0.11836500075509473,10000.0
0.1,0.005,2,0.11819808288723599,10000.0
0.1,0.008,1,0.13114919563041286,10000.0
0.1,0.008,2,0.13203213437402597,10000.0
0.1,0.013,1,0.1476292758270391,10000.0
0.1,0.013,2,0.14903988525835982,10000.0
0.1,0.02,1,0.16980392553835547,10000.0
0.1,0.02,2,0.17189920142745257,10000.0
0.1,0.03,1,0.1939634298737012,10000.0
0.1,0.03,2,0.19462839693293427,10000.0
0.3,0.0005,1,0.13480580815214158,10000.0
0.3,0.0005,2,0.13782317218097045,10000.0
0.3,0.0015,1,0.07985254342441733,10000.0
0.3,0.0015,2,0.07868353993126881,10000.0
0.3,0.001,1,0.07908517104362041,10000.0
0.3,0.001,2,0.07818010505822481,10000.0
0.3,0.003,1,0.07931338002120573,10000.0
0.3,0.003,2,0.07777649690105248,10000.0
0.3,0.005,1,0.08101635052992799,10000.0
0.3,0.005,2,0.07878872115697373,10000.0
0.3,0.008,1,0.08413029023811482,10000.0
0.3,0.008,2,0.08240989824729056,10000.0
0.3,0.013,1,0.088147988706242,10000.0
0.3,0.013,2,0.08640657887749233,10000.0
0.3,0.02,1,0.09431481458484844,10000.0
0.3,0.02,2,0.0920180079074777,10000.0
0.3,0.03,1,0.10088052178059505,10000.0
0.3,0.03,2,0.09921089734255606,10000.0
1.0,0.0005,1,0.01279568925732135,10000.0
1.0,0.0005,2,0.012099857003538196,10000.0
1.0,0.0015,1,0.01574560527632668,10000.0
1.0,0.0015,2,0.012947726671891943,10000.0
1.0,0.001,1,0.015150226624521985,10000.0
1.0,0.001,2,0.013121949179280987,10000.0
1.0,0.003,1,0.015184439453525394,10000.0
1.0,0.003,2,0.01358905365850473,10000.0
1.0,0.005,1,0.01612395405786453,10000.0
1.0,0.005,2,0.01394096351777165,10000.0
1.0,0.008,1,0.01690711260587581,10000.0
1.0,0.008,2,0.015446101928827248,10000.0
1.0,0.013,1,0.01874576623453575,10000.0
1.0,0.013,2,0.01669869264614343,10000.0
1.0,0.02,1,0.020895083212551936,10000.0
1.0,0.02,2,0.01854156952079408,10000.0
1.0,0.03,1,0.023141087777617877,10000.0
1.0,0.03,2,0.021218275906694676,10000.0
0.1,0.0005,1,0.05606907521141561,100000.0
0.1,0.0005,2,0.10163526479035043,100000.0
0.1,0.0015,1,0.09006858564619796,100000.0
0.1,0.0015,2,0.08980273884068966,100000.0
0.1,0.001,1,0.08842578796892178,100000.0
0.1,0.001,2,0.0883858787736598,100000.0
0.1,0.003,1,0.10073098931762411,100000.0
0.1,0.003,2,0.09948243521420194,100000.0
0.1,0.005,1,0.11410965359909027,100000.0
0.1,0.005,2,0.11510499446895588,100000.0
0.1,0.008,1,0.132359356203281,100000.0
0.1,0.008,2,0.13103108198346838,100000.0
0.1,0.013,1,0.1585020503430423,100000.0
0.1,0.013,2,0.15705986121059903,100000.0
0.1,0.02,1,0.18525890747871693,100000.0
0.1,0.02,2,0.18522423617467337,100000.0
0.1,0.03,1,0.21556515277739532,100000.0
0.1,0.03,2,0.21419421705291325,100000.0
0.3,0.0005,1,0.03133683007745976,100000.0
0.3,0.0005,2,0.040866109613315896,100000.0
0.3,0.0015,1,0.057647153047262645,100000.0
0.3,0.0015,2,0.056758265341026716,100000.0
0.3,0.001,1,0.058937297585462615,100000.0
0.3,0.001,2,0.05797355971390347,100000.0
0.3,0.003,1,0.058027861241703005,100000.0
0.3,0.003,2,0.05725522106082921,100000.0
0.3,0.005,1,0.060588216472794526,100000.0
0.3,0.005,2,0.0601459758433844,100000.0
