mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon,E
0.1,0.0005,1,5.3437758738805966e-05,0.43930866513274086,0.001414757034449903,0.09193053595476282,0.054034100245091796,0.09104298055403234,7.512975035063544,0.7926007114243627,0.6150683441798185,12220.5,10000.0
0.1,0.0005,2,5.401241913432836e-05,0.5282842995834494,0.0009065061946294122,0.1164322486840765,0.059360349365363246,0.10336617743929973,7.192030637511715,0.8159592025153231,0.6015614719215934,11581.0,10000.0
0.1,0.0015,1,7.014503964925372e-05,0.32826445168901935,0.015199199551401893,0.034654128291605316,0.06970095890083365,0.06999366307663606,7.330650784469203,0.7985589676826423,0.610625820375715,13301.0,10000.0
0.1,0.0015,2,6.893908715671641e-05,0.33234626910981196,0.01555324295469647,0.035276031104019286,0.07032164555546731,0.06899905286257138,7.411859431952874,0.7881993764964991,0.6168099845488705,13309.0,10000.0
0.1,0.001,1,4.776402543283582e-05,0.35216514547077526,0.016563220705808825,0.03693626133714593,0.07493104591402644,0.06507891627138339,7.338879463789336,0.7967791277018909,0.6116803148211007,13183.5,10000.0
0.1,0.001,2,4.784503203731344e-05,0.3459893327026844,0.017191674904363425,0.036895755616140516,0.07270346437572225,0.0666211591771554,7.411540679953127,0.7988688357145926,0.6104353025316704,13141.0,10000.0
0.1,0.003,1,0.00013369712835820894,0.3115914391345021,0.010365205272464265,0.03305546865786317,0.0673532761838661,0.08628351119559326,7.121838956635715,0.782083262435548,0.6204903978172822,13455.5,10000.0
0.1,0.003,2,0.0001310539378358209,0.306099184206757,0.01019938972214664,0.03205778453339497,0.06657548200138691,0.08547006604916707,7.216347497688424,0.7838198012137076,0.6194355835478577,13469.5,10000.0
0.1,0.005,1,0.00021938490694029854,0.278527795673901,0.007252843002550042,0.02996825006848696,0.0604567355621756,0.1053967156211281,7.102075130526911,0.7760773598285902,0.6241077416602145,13662.5,10000.0
0.1,0.005,2,0.00021606405716417912,0.2836826087783576,0.007396837403700372,0.02951622495516406,0.06257902993605971,0.10632981562062162,7.112754146854932,0.7833405306642984,0.6197444179959437,13681.25,10000.0
0.1,0.008,1,0.0003400155893283582,0.2554466618184518,0.004375381063517203,0.027831133440486894,0.05585929323666698,0.1319871669505041,7.0336738073604925,0.7681163260597462,0.6289306779479394,13852.25,10000.0
0.1,0.008,2,0.0003442177937313433,0.254645459538289,0.0049454344023081446,0.029003298564995325,0.05423004365347478,0.1303488105973061,7.022601887407341,0.7646661854466251,0.6310311007265285,13851.5,10000.0
0.1,0.013,1,0.000551367892761194,0.22334096055712047,0.0024026366011834868,0.025550893941915318,0.04809521286523297,0.16940742954329302,6.820587312499326,0.7609563269410184,0.6332920785737886,14035.5,10000.0
0.1,0.013,2,0.0005547396476865672,0.22602460717319647,0.0024549212374188317,0.026553363120020775,0.04796986526620594,0.16548956912959284,6.862219159226396,0.7578453991718521,0.635199853601033,14044.5,10000.0
0.1,0.02,1,0.0008707784949253731,0.20556481584559239,0.0010839644990965625,0.024077193284401277,0.044083089697611294,0.2086317964134625,6.808342301968897,0.746646345540463,0.6420662389564445,14202.333333333334,10000.0
0.1,0.02,2,0.0008788670896268657,0.1987962652432456,0.001181793235277974,0.02309409485687085,0.04277739791711979,0.20736370363554127,6.837590818812145,0.749723737341426,0.6401737818695658,14159.0,10000.0
0.1,0.03,1,0.0013747091828358207,0.18585500053219048,0.0009533524067348154,0.023197335668657393,0.03843654610234451,0.24898059393328756,6.8138260415374035,0.7346838381299734,0.6494524886821089,14297.0,10000.0
0.1,0.03,2,0.0013899241208955226,0.18496517493845746,0.0007331612153788199,0.022041217975789517,0.03936945277053325,0.2492041490811355,6.78856057232199,0.7394835015085617,0.6464834584918926,14232.0,10000.0
0.1,0.05,1,0.0026154660604477613,0.1572872979993658,4.853510596256841e-05,0.01926658536030373,0.033146337731355745,0.3191172411338181,6.760921705739896,0.7437308772818124,0.6438604870303294,14202.666666666666,10000.0
0.1,0.05,2,0.0025776019104477616,0.16294566064656332,0.0005991116450916651,0.020796813584287675,0.03331870040033025,0.31721101479516656,6.77067320699486,0.7287650654200348,0.6531297592364324,14214.666666666666,10000.0
0.1,0.08,1,0.0047400608619402994,0.1568836775903169,-4.410436362316861e-05,0.019808267561596687,0.03250099278089136,0.3821615227056128,6.796688491210797,0.7339949588169804,0.6498802359291393,14060.333333333334,10000.0
0.1,0.08,2,0.004781282041791045,0.16068589204695147,4.764974601126945e-06,0.021663750876583926,0.03189662631060299,0.385686116742271,6.786564213221762,0.7392060727641353,0.6466551159028356,13971.333333333334,10000.0
0.1,0.12,1,0.008016761141791043,0.13965892030996566,0.00014446490129091928,0.019359515079333988,0.027145303626975346,0.44175524366143754,6.897162162547393,0.7364746486588061,0.6483474977859132,13866.0,10000.0
0.1,0.12,2,0.008067670371641791,0.1522834821842877,0.000767371432656768,0.019773758629333726,0.030731614529639652,0.44026144601549755,6.965139656264033,0.7395181692288273,0.646464364738816,13807.25,10000.0
0.3,0.0005,1,5.495023914925374e-05,0.675486306533778,0.00474539075927235,0.16523331761114068,0.058346990023978834,0.05514913266662999,6.078889253240339,0.8569990148826405,0.5769982685541357,9960.0,10000.0
0.3,0.0005,2,6.263364480597014e-05,0.5376948206088605,0.0018585341200368507,0.1026213958181148,0.07599070177289532,0.03815829788658015,8.112922913815803,0.8183841897737433,0.5996901729270984,11727.5,10000.0
0.3,0.0015,1,9.861972716417912e-05,0.5254918613347518,0.06669794280304447,0.051886543925706796,0.1010447648490714,0.03936083664944288,8.515537496598114,0.8836949110922597,0.5615142639211508,11408.0,10000.0
0.3,0.0015,2,9.993144571641792e-05,0.5068043682790617,0.07075425774669361,0.04810593824670042,0.09724409660651104,0.03929276631464815,8.751592376581243,0.880017953753334,0.5635652055439382,11428.25,10000.0
0.3,0.001,1,6.841391988059703e-05,0.5194366246540526,0.07069604327188625,0.05100005563596212,0.09858013837449926,0.04461176148446804,8.682908502148285,0.8812435416367785,0.56287909744974,11321.25,10000.0
0.3,0.001,2,6.781175236567165e-05,0.5271895270044235,0.07280809717611487,0.05216836964903701,0.09929210504447261,0.04302707302954138,8.644735766333302,0.8839706091033823,0.5613954485911463,11330.5,10000.0
0.3,0.003,1,0.00018542958835820897,0.5061560015503992,0.0625377303102573,0.04894603945408484,0.09892671939245544,0.04509506995919321,8.35381513201219,0.8782073844895879,0.5645810387213313,11573.75,10000.0
0.3,0.003,2,0.00018234171164179105,0.4969326921671382,0.061474477752586146,0.04833036760659694,0.09682237169065123,0.041838107182281314,8.41733618970395,0.8870862103408966,0.5596813630956461,11621.75,10000.0
0.3,0.005,1,0.00029591006865671647,0.48728170223594997,0.053207374026353046,0.04776934732491482,0.09692209188331935,0.04666555036755019,8.336616118119355,0.8827948376831076,0.5620119494707968,11705.5,10000.0
0.3,0.005,2,0.0002883175096268657,0.4757000935630118,0.05292647271974549,0.047218212277975465,0.09370632854655685,0.04632016424533964,8.377724079669715,0.8765265413310778,0.5655893561377239,11777.0,10000.0
0.3,0.008,1,0.0004382444004477611,0.4614552575553115,0.04929182940307037,0.044002104693574816,0.09338570261071834,0.052735234013805664,7.99506425031111,0.874534841396172,0.5666361984770298,12008.666666666666,10000.0
0.3,0.008,2,0.0004477255313432836,0.45783869824487694,0.04995953852418736,0.04448249527478468,0.09147722567365635,0.05456300287577968,8.192114085748903,0.878820409399672,0.564243111030933,11998.666666666666,10000.0
0.3,0.013,1,0.0006776695216417911,0.42948040325198816,0.03920200349447202,0.04276717419731937,0.08732562661513041,0.06438993418553907,7.977883041831861,0.8680863658121802,0.5702661675937977,12229.5,10000.0
0.3,0.013,2,0.0006785786917910448,0.4311138962617316,0.04077940078400459,0.04173588153988579,0.08837561587258082,0.06328139998356674,7.952945956444053,0.8652567586527605,0.5718659041373935,12199.5,10000.0
0.3,0.02,1,0.0009734646778358208,0.4041356926363663,0.031086816437793353,0.03957787491779757,0.08477174826126689,0.07298613355303504,7.780803527108193,0.8508132328807995,0.5800885723453024,12536.75,10000.0
0.3,0.02,2,0.0009955924165671642,0.40477183324323723,0.029880528171353067,0.041035498504303505,0.08392827095854147,0.07154384074963638,7.855792981083751,0.8490939508179887,0.5810952708802923,12482.0,10000.0
0.3,0.03,1,0.0014085844067164175,0.3655109770994261,0.022694271725362487,0.0372759056486164,0.07699632754442723,0.0869559829099129,7.573010938623655,0.8301099272468139,0.5920550222665701,12755.75,10000.0
0.3,0.03,2,0.0013798629708955223,0.366692613652761,0.02307907784873104,0.037947435914639185,0.07659040762545742,0.08173912581164999,7.620534437420847,0.828550769127806,0.592958490645523,12840.0,10000.0
0.3,0.05,1,0.002159613297761194,0.31914527564819745,0.013105259521328318,0.034055216272468464,0.06795812242840811,0.10488793105849491,7.301516211372218,0.8006819160141918,0.6093544674512107,13242.25,10000.0
